Section;Action;URI;Applicable;Reasoning
permission;accept tracking;http://www.w3.org/ns/odrl/2/acceptTracking;NO;The license does not govern the use of tracking technologies this is a privacy consideration outside the scope of copyright licensing.
permission;aggregate;http://www.w3.org/ns/odrl/2/aggregate;YES;Permitted if the work is included verbatim in a non-commercial collection and attribution is given. Aggregation must not create a derivative work.
permission;annotate;http://www.w3.org/ns/odrl/2/annotate;YES;Making annotations for personal non-commercial use is permitted. Distributing annotations separately that do not modify or create a derivative of the core work is also permitted. Distributing the work with embedded annotations that form a derivative is not.
permission;anonymize;http://www.w3.org/ns/odrl/2/anonymize;NO;Anonymizing the material would create a derivative which cannot be distributed under the NoDerivatives clause. Personal non-commercial anonymization is allowed but not for sharing.
permission;archive;http://www.w3.org/ns/odrl/2/archive;YES;Permitted to make copies for personal archiving or for non-commercial verbatim redistribution.
permission;attribute;http://www.w3.org/ns/odrl/2/attribute;NO;This is an obligation for the licensee not a permission granted to them to define attribution.
permission;attribution;http://creativecommons.org/ns#Attribution;NO;This is an obligation (BY condition) not a permission for the licensee to perform.
permission;commercial use;http://creativecommons.org/ns#CommercialUse;NO;Explicitly not permitted by the NonCommercial (NC) clause.
permission;compensate;http://www.w3.org/ns/odrl/2/compensate;NO;The license does not grant the licensee a right to be compensated nor does it require the licensor to compensate the licensee. CC licenses are royalty-free.
permission;concurrent use;http://www.w3.org/ns/odrl/2/concurrentUse;YES;The license does not restrict simultaneous use by multiple users as long as terms are met.
permission;delete;http://www.w3.org/ns/odrl/2/delete;YES;The licensee is free to delete their own copies of the material.
permission;derivative works;http://creativecommons.org/ns#DerivativeWorks;NO;The NoDerivatives (ND) clause prohibits the distribution of derivative works. Creation for personal non-commercial use is allowed but not sharing.
permission;derive;http://www.w3.org/ns/odrl/2/derive;NO;Creating derivatives for personal non-commercial use is allowed but they cannot be distributed under the NoDerivatives (ND) clause.
permission;digitize;http://www.w3.org/ns/odrl/2/digitize;YES;Permitted as a technical modification necessary to exercise rights provided the resulting digital copy is shared verbatim and non-commercially.
permission;display;http://www.w3.org/ns/odrl/2/display;YES;Permitted as part of sharing the work non-commercially and verbatim.
permission;distribute;http://www.w3.org/ns/odrl/2/distribute;YES;Permitted for non-commercial purposes provided the material is shared verbatim and with attribution.
permission;distribution;http://creativecommons.org/ns#Distribution;YES;Permitted for non-commercial purposes provided the material is shared verbatim and with attribution (CC specific action).
permission;ensure exclusivity;http://www.w3.org/ns/odrl/2/ensureExclusivity;NO;The license is non-exclusive the licensee cannot claim or ensure exclusivity.
permission;execute;http://www.w3.org/ns/odrl/2/execute;YES;If the material is software or similar executing it for non-commercial purposes is permitted.
permission;extract;http://www.w3.org/ns/odrl/2/extract;YES;Extracting portions of the work verbatim for non-commercial use is permitted.
permission;give;http://www.w3.org/ns/odrl/2/give;YES;Permitted as a form of non-commercial verbatim redistribution.
