Section	Action	URI	Applicable	Reasoning
Permissions	accept tracking	http://www.w3.org/ns/odrl/2/acceptTracking	NO	The license does not explicitly address the acceptance or rejection of tracking technologies. It focuses on copyright permissions.
Permissions	aggregate	http://www.w3.org/ns/odrl/2/aggregate	YES	The license allows adapting (remix transform and build upon the material) which can include aggregating it with other works provided the other terms (NonCommercial ShareAlike Attribution) are met.
Permissions	annotate	http://www.w3.org/ns/odrl/2/annotate	YES	Annotation is a form of adaptation or modification. The license permits adapting the material. Users can add notes or comments.
Permissions	anonymize	http://www.w3.org/ns/odrl/2/anonymize	NO	The license itself does not grant a specific right to anonymize the original licensor or content in a way that would remove attribution requirements. Anonymizing personal data within the material might be subject to other laws but is not a granted permission by this license.
Permissions	archive	http://www.w3.org/ns/odrl/2/archive	YES	The permission to 'reproduce' and 'share' implies the ability to make copies for archival purposes as long as other license terms are followed.
Permissions	attribute	http://www.w3.org/ns/odrl/2/attribute	NO	This action implies the right to assign an attribute to the work. While the license requires attribution TO the original author it does not grant the licensee the right to assign new defining attributes in an ODRL sense.
Permissions	attribution	http://creativecommons.org/ns#Attribution	YES	This is a core component. The license explicitly grants permissions *on the condition* of providing attribution. Thus the ability to use the work while following attribution rules is a permission.
Permissions	commercial use	http://creativecommons.org/ns#CommercialUse	NO	The 'NC' (NonCommercial) part of the license explicitly restricts commercial use. This is a prohibition not a permission.
Permissions	compensate	http://www.w3.org/ns/odrl/2/compensate	NO	The license is royalty-free. It does not grant a right for the licensee to receive compensation nor does it require the licensee to compensate the licensor beyond the terms of any separate agreement if one existed. The license itself does not deal with compensation as a granted right.
Permissions	concurrent use	http://www.w3.org/ns/odrl/2/concurrentUse	YES	The license doesn't restrict the number of users who can concurrently use the material assuming they all abide by the license terms. It grants rights to 'You' (the user) generally.
Permissions	delete	http://www.w3.org/ns/odrl/2/delete	NO	The license grants rights to use and adapt the material not to delete the licensor's original material or to require its deletion. A user can delete their own copies.
Permissions	derivative works	http://creativecommons.org/ns#DerivativeWorks	YES	The license explicitly allows users to 'Adapt — remix transform and build upon the material' which is the definition of creating derivative works.
Permissions	derive	http://www.w3.org/ns/odrl/2/derive	YES	This is synonymous with creating derivative works or adapting the material which is permitted.
Permissions	digitize	http://www.w3.org/ns/odrl/2/digitize	YES	If the material is in analog form the permission to 'reproduce' and 'adapt' in any 'medium or format' implies the right to digitize it to exercise other permitted rights.
Permissions	display	http://www.w3.org/ns/odrl/2/display	YES	Sharing and reproducing the material implies the right to display it publicly for non-commercial purposes. Section 1.g of the legal code defines 'Share' to include performance and public display.
Permissions	distribute	http://www.w3.org/ns/odrl/2/distribute	YES	The license explicitly allows users to 'Share — copy and redistribute the material in any medium or format'.
Permissions	distribution	http://creativecommons.org/ns#Distribution	YES	This is a core permission granted by the license.
Permissions	ensure exclusivity	http://www.w3.org/ns/odrl/2/ensureExclusivity	NO	The license is non-exclusive. The licensor can grant licenses to others and licensees cannot make their use exclusive.
Permissions	execute	http://www.w3.org/ns/odrl/2/execute	YES	If the licensed material is software or a script the permission to 'use' and 'adapt' it implies the right to execute it for non-commercial purposes.
Permissions	extract	http://www.w3.org/ns/odrl/2/extract	YES	Extracting parts of the material is a form of 'reproducing' or 'adapting' which is permitted.
Permissions	give	http://www.w3.org/ns/odrl/2/give	YES	The 'Share' permission allows redistributing the material which includes giving copies to others under the license terms.
Permissions	grant use	http://www.w3.org/ns/odrl/2/grantUse	NO	The licensee does not have the right to grant use to others in the sense of sublicensing. They can share the work under the original CC BY-NC-SA 4.0 terms. The original licensor grants use.
Permissions	include	http://www.w3.org/ns/odrl/2/include	YES	The permission to 'Adapt — remix transform and build upon the material' implies the right to include the material (or parts of it) in a larger work (an Adaptation) under ShareAlike conditions.
Permissions	index	http://www.w3.org/ns/odrl/2/index	YES	Indexing for non-commercial discovery purposes can be seen as a use or a technical modification necessary to exercise licensed rights. It doesn't conflict with the license.
Permissions	inform	http://www.w3.org/ns/odrl/2/inform	NO	The license does not grant a specific right to 'inform' in the ODRL sense which usually refers to informing about events or data handling. However a user is permitted to inform others about the work by sharing it.
Permissions	install	http://www.w3.org/ns/odrl/2/install	YES	If the material is software the permission to 'use' it implies the right to install it on a device for non-commercial purposes.
Permissions	modify	http://www.w3.org/ns/odrl/2/modify	YES	The license permits users to 'Adapt — remix transform and build upon the material' which is modification.
Permissions	move	http://www.w3.org/ns/odrl/2/move	YES	The right to reproduce and use the material implies the ability to move it between storage media or locations as long as other terms are met.
Permissions	next policy	http://www.w3.org/ns/odrl/2/nextPolicy	NO	The ShareAlike clause mandates that adaptations are licensed under the same or a compatible license not an arbitrary next policy chosen by the user.
Permissions	notice	http://creativecommons.org/ns#Notice	YES	The permission to use the work is conditional on providing notices (copyright license etc.). So the act of using while complying with notice requirements is implicitly a permission.
Permissions	obtain consent	http://www.w3.org/ns/odrl/2/obtainConsent	NO	The license itself is the consent from the licensor. The licensee does not typically 'obtain consent' as a granted ODRL action they operate under the consent already given.
Permissions	play	http://www.w3.org/ns/odrl/2/play	YES	If the material is a media file (audio video) the right to 'Share' (which includes perform) and 'use' implies the right to play it for non-commercial purposes.
Permissions	present	http://www.w3.org/ns/odrl/2/present	YES	This is similar to 'display' or 'play'. Sharing the material includes the right to present it publicly for non-commercial purposes.
Permissions	print	http://www.w3.org/ns/odrl/2/print	YES	The right to 'reproduce' the material in 'any medium or format' includes printing a physical copy for non-commercial use.
Permissions	read	http://www.w3.org/ns/odrl/2/read	YES	The fundamental act of accessing and understanding the content is implied by the permissions to use share and adapt.
Permissions	reproduce	http://www.w3.org/ns/odrl/2/reproduce	YES	The license explicitly grants the right to 'reproduce' the material.
Permissions	reproduction	http://creativecommons.org/ns#Reproduction	YES	This is a core permission granted by the license.
Permissions	review policy	http://www.w3.org/ns/odrl/2/reviewPolicy	NO	The license terms are fixed. While a user can review the license (the policy) this is not a granted 'action' in the ODRL sense of having a right to demand a review or change of the policy.
Permissions	sell	http://www.w3.org/ns/odrl/2/sell	NO	The 'NC' (NonCommercial) part explicitly prohibits selling the material or adaptations.
Permissions	share Alike	http://creativecommons.org/ns#ShareAlike	YES	While primarily an obligation if you create derivative works it's also a permission in the sense that you *are allowed* to create and share those derivative works *if* you comply with the ShareAlike condition.
