Section	Action	URI	Applicable	Reasoning
Permissions	accept tracking	http://www.w3.org/ns/odrl/2/acceptTracking	NO	The license does not explicitly grant permission to accept tracking. This is generally outside the scope of copyright licenses.
Permissions	aggregate	http://www.w3.org/ns/odrl/2/aggregate	YES	The license allows adapting and remixing which can include aggregation as long as it's non-commercial and attribution is given.
Permissions	annotate	http://www.w3.org/ns/odrl/2/annotate	YES	Annotation is a form of adaptation/modification which is permitted for non-commercial use with attribution.
Permissions	anonymize	http://www.w3.org/ns/odrl/2/anonymize	NO	The license focuses on the rights to the work itself not explicitly on anonymizing data within or related to the work. While not prohibited if other laws allow it it's not a granted permission by this license.
Permissions	archive	http://www.w3.org/ns/odrl/2/archive	YES	Archiving is a form of copying and redistributing which is permitted for non-commercial purposes.
Permissions	attribute	http://www.w3.org/ns/odrl/2/attribute	YES	While the license *requires* attribution from the licensee it implies the licensor has granted the right for the work to be attributed in a certain way. However this action is more about *requiring* attribution rather than *permitting* someone to attribute. For the context of permissions granted to the user this isn't directly applicable as a freedom.
Permissions	attribution	http://creativecommons.org/ns#Attribution	NO	This is a condition/obligation of the license not a permission granted to the user. The user is permitted to use the work *if* they provide attribution.
Permissions	commercial use	http://creativecommons.org/ns#CommercialUse	NO	The license explicitly prohibits commercial use.
Permissions	compensate	http://www.w3.org/ns/odrl/2/compensate	NO	The license is royalty-free. No compensation is required or explicitly permitted in a way that forms part of the license grant.
Permissions	concurrent use	http://www.w3.org/ns/odrl/2/concurrentUse	YES	The license does not restrict the number of users who can use the work simultaneously according to the license terms.
Permissions	delete	http://www.w3.org/ns/odrl/2/delete	NO	The license grants rights to use the work not to delete the original or other copies. Deletion of one's own copy is a general right not a specific permission granted by the license.
Permissions	derivative works	http://creativecommons.org/ns#DerivativeWorks	YES	The license explicitly permits creating adapted material (derivative works) for non-commercial purposes.
Permissions	derive	http://www.w3.org/ns/odrl/2/derive	YES	The license allows users to remix transform and build upon the material meaning they can derive new works from it for non-commercial purposes.
Permissions	digitize	http://www.w3.org/ns/odrl/2/digitize	YES	If the material is not yet digital digitizing it would be a necessary step for many permitted uses like copying sharing and adapting in a digital format for non-commercial purposes.
Permissions	display	http://www.w3.org/ns/odrl/2/display	YES	Sharing and redistributing the material for non-commercial purposes implies the right to display it.
Permissions	distribute	http://www.w3.org/ns/odrl/2/distribute	YES	The license explicitly allows redistributing the material in any medium or format for non-commercial purposes.
Permissions	distribution	http://creativecommons.org/ns#Distribution	YES	The license explicitly allows redistribution (sharing) of the material for non-commercial purposes.
Permissions	ensure exclusivity	http://www.w3.org/ns/odrl/2/ensureExclusivity	NO	The license is non-exclusive. The licensor can grant other licenses and the licensee cannot claim exclusivity.
Permissions	execute	http://www.w3.org/ns/odrl/2/execute	YES	For software or other executable works covered by the license the permission to use adapt and share implies the permission to execute it for non-commercial purposes.
Permissions	extract	http://www.w3.org/ns/odrl/2/extract	YES	Extracting parts of the work is a form of adaptation or reproduction which is permitted for non-commercial purposes.
Permissions	give	http://www.w3.org/ns/odrl/2/give	YES	The license allows redistribution which includes giving copies of the work to others for non-commercial purposes.
Permissions	grant use	http://www.w3.org/ns/odrl/2/grantUse	NO	The licensee cannot sublicense the work under different terms that are more restrictive than CC BY-NC 4.0 or grant uses outside of what the license permits. They can share the work under the same license.
Permissions	include	http://www.w3.org/ns/odrl/2/include	YES	Including the work in a larger collection or adaptation is permitted as part of remixing and building upon the material for non-commercial purposes.
Permissions	index	http://www.w3.org/ns/odrl/2/index	YES	Indexing could be part of adapting or making the work usable which is permitted for non-commercial purposes.
Permissions	inform	http://www.w3.org/ns/odrl/2/inform	NO	While the license requires providing information (attribution notice link) this ODRL action refers to informing about data processing which is not explicitly granted by the license.
Permissions	install	http://www.w3.org/ns/odrl/2/install	YES	For software this is implied by the rights to use reproduce and adapt for non-commercial purposes.
Permissions	modify	http://www.w3.org/ns/odrl/2/modify	YES	The license explicitly allows users to remix transform and build upon the material (i.e. modify it) for non-commercial purposes.
Permissions	move	http://www.w3.org/ns/odrl/2/move	YES	Moving a copy of the work is a general right associated with possession of a copy and incidental to permitted uses like sharing and adapting.
Permissions	next policy	http://www.w3.org/ns/odrl/2/nextPolicy	NO	The license does not grant the right to apply a different subsequent policy to the original work other than sharing adaptations under compatible terms if it were a ShareAlike license (which BY-NC is not inherently but this refers to the original work).
Permissions	notice	http://creativecommons.org/ns#Notice	NO	This is an obligation (to retain notices) not a permission granted to the user.
Permissions	obtain consent	http://www.w3.org/ns/odrl/2/obtainConsent	NO	The license itself is the consent from the licensor for the permitted uses. The licensee does not obtain further consent through this license.
Permissions	play	http://www.w3.org/ns/odrl/2/play	YES	For audiovisual works playing the work is a fundamental way to use it which is permitted for non-commercial purposes.
Permissions	present	http://www.w3.org/ns/odrl/2/present	YES	Presenting the work (e.g. public performance or display) is a form of sharing and using the work permitted for non-commercial purposes.
Permissions	print	http://www.w3.org/ns/odrl/2/print	YES	Printing is a form of reproduction which is permitted for non-commercial purposes.
Permissions	read	http://www.w3.org/ns/odrl/2/read	YES	Reading the work is a fundamental way to use it which is implicitly permitted for non-commercial purposes.
Permissions	reproduce	http://www.w3.org/ns/odrl/2/reproduce	YES	The license explicitly allows copying (reproducing) the material for non-commercial purposes.
Permissions	reproduction	http://creativecommons.org/ns#Reproduction	YES	The license explicitly allows reproduction (copying) of the material for non-commercial purposes.
Permissions	review policy	http://www.w3.org/ns/odrl/2/reviewPolicy	NO	The license terms are fixed. There's no mechanism defined for the licensee to review or change the policy.
Permissions	sell	http://www.w3.org/ns/odrl/2/sell	NO	Selling the work is a commercial activity and is prohibited by the NonCommercial clause.
