Section	Action	URI	Applicable	Reasoning
Permissions	accept tracking	http://www.w3.org/ns/odrl/2/acceptTracking	NO	The PDM relates to copyright status of a work, not typically to interactions with services that might involve tracking. Whether a user accepts tracking is independent of the public domain status of the content being accessed.
Permissions	aggregate	http://www.w3.org/ns/odrl/2/aggregate	YES	A work in the public domain can be aggregated with other works without copyright restriction.
Permissions	annotate	http://www.w3.org/ns/odrl/2/annotate	YES	A work in the public domain can be annotated (e.g., adding notes or commentary) without copyright restriction.
Permissions	anonymize	http://www.w3.org/ns/odrl/2/anonymize	YES	If the work contains personal data, and one has the right to process it, anonymizing it is a form of modification/use, permissible for a public domain work. The PDM itself doesn't govern data protection, but doesn't restrict this act on the content.
Permissions	archive	http://www.w3.org/ns/odrl/2/archive	YES	A work in the public domain can be archived without copyright restriction.
Permissions	attribute	http://www.w3.org/ns/odrl/2/attribute	YES	While PDM itself doesn't mandate attribution (unlike some CC licenses), the act of attributing is not restricted. Moral rights may still apply in some jurisdictions, making attribution appropriate or required by other laws, but from a copyright permission standpoint under PDM, one *can* attribute.
Permissions	attribution	http://creativecommons.org/ns#Attribution	NO	PDM signifies public domain, which means no copyright conditions like mandatory attribution are imposed by the mark itself. While good practice, it's not a permission granted *by* PDM as a condition, but an inherent freedom.
Permissions	commercial use	http://creativecommons.org/ns#CommercialUse	YES	Works in the public domain can be used for commercial purposes without copyright restriction.
Permissions	compensate	http://www.w3.org/ns/odrl/2/compensate	NO	The PDM indicates a work is free of copyright restriction there is no requirement or mechanism for compensation related to the copyright status. This action is usually a duty, not a permission granted to the user.
Permissions	concurrent use	http://www.w3.org/ns/odrl/2/concurrentUse	YES	There are no copyright restrictions on how many people can use a public domain work simultaneously.
Permissions	delete	http://www.w3.org/ns/odrl/2/delete	YES	A user who has a copy of a public domain work can delete their copy. This refers to the user's copy, not the original or other copies.
Permissions	derivative works	http://creativecommons.org/ns#DerivativeWorks	YES	Works in the public domain can be modified to create derivative works without copyright restriction.
Permissions	derive	http://www.w3.org/ns/odrl/2/derive	YES	A work in the public domain can be used to derive new works without copyright restriction.
Permissions	digitize	http://www.w3.org/ns/odrl/2/digitize	YES	A work in the public domain (if in analog form) can be digitized without copyright restriction.
Permissions	display	http://www.w3.org/ns/odrl/2/display	YES	A work in the public domain can be displayed publicly without copyright restriction.
Permissions	distribute	http://www.w3.org/ns/odrl/2/distribute	YES	A work in the public domain can be distributed without copyright restriction.
Permissions	distribution	http://creativecommons.org/ns#Distribution	YES	Synonymous with 'distribute'. Works in the public domain can be distributed.
Permissions	ensure exclusivity	http://www.w3.org/ns/odrl/2/ensureExclusivity	NO	The nature of public domain is non-exclusive. One cannot ensure exclusivity for a public domain work based on copyright.
Permissions	execute	http://www.w3.org/ns/odrl/2/execute	YES	If the public domain work is software or a program, it can be executed without copyright restriction.
Permissions	extract	http://www.w3.org/ns/odrl/2/extract	YES	Parts of a public domain work can be extracted without copyright restriction.
Permissions	give	http://www.w3.org/ns/odrl/2/give	YES	A copy of a public domain work can be given to others without copyright restriction.
Permissions	grant use	http://www.w3.org/ns/odrl/2/grantUse	NO	An individual user cannot 'grant use' for a public domain work as if they are the rightsholder, because there are no copyright restrictions to grant. The work is already free for all to use.
Permissions	include	http://www.w3.org/ns/odrl/2/include	YES	A public domain work can be included in other collections or works without copyright restriction.
Permissions	index	http://www.w3.org/ns/odrl/2/index	YES	A public domain work can be indexed (e.g., by a search engine or for a database) without copyright restriction.
Permissions	inform	http://www.w3.org/ns/odrl/2/inform	YES	One can inform others about a public domain work or its contents. This is a general action not typically restricted by copyright.
Permissions	install	http://www.w3.org/ns/odrl/2/install	YES	If the public domain work is software, it can be installed without copyright restriction.
Permissions	modify	http://www.w3.org/ns/odrl/2/modify	YES	A work in the public domain can be modified without copyright restriction.
Permissions	move	http://www.w3.org/ns/odrl/2/move	YES	A user can move their copy of a public domain work (e.g., from one storage device to another).
Permissions	next policy	http://www.w3.org/ns/odrl/2/nextPolicy	NO	PDM signifies the end of copyright restrictions there is no 'next policy' in terms of copyright from the PDM itself.
Permissions	notice	http://creativecommons.org/ns#Notice	NO	PDM signifies public domain, which means no copyright conditions like requiring notices are imposed by the mark itself for the use of the work.
Permissions	obtain consent	http://www.w3.org/ns/odrl/2/obtainConsent	NO	Consent is not needed for using a public domain work from a copyright perspective. This action is usually for data privacy contexts.
Permissions	play	http://www.w3.org/ns/odrl/2/play	YES	If the public domain work is a media file (audio/video), it can be played without copyright restriction.
Permissions	present	http://www.w3.org/ns/odrl/2/present	YES	A work in the public domain can be presented (e.g., in a lecture or performance) without copyright restriction.
Permissions	print	http://www.w3.org/ns/odrl/2/print	YES	A work in the public domain can be printed without copyright restriction.
Permissions	read	http://www.w3.org/ns/odrl/2/read	YES	A work in the public domain can be read without copyright restriction.
Permissions	reproduce	http://www.w3.org/ns/odrl/2/reproduce	YES	A work in the public domain can be reproduced (copied) without copyright restriction.
Permissions	reproduction	http://creativecommons.org/ns#Reproduction	YES	Synonymous with 'reproduce'. Works in the public domain can be reproduced.
Permissions	review policy	http://www.w3.org/ns/odrl/2/reviewPolicy	NO	The PDM is not a policy to be reviewed by the user in terms of their use rights it's a statement about the work's status.
Permissions	sell	http://www.w3.org/ns/odrl/2/sell	YES	A public domain work, or copies of it, can be sold. The copyright status does not prevent selling the work or a product incorporating it.
Permissions	share Alike	http://creativecommons.org/ns#ShareAlike	NO	PDM signifies public domain. There is no ShareAlike condition, as that is a specific license term for copyrighted works.
Permissions	sharing	http://creativecommons.org/ns#Sharing	YES	Works in the public domain can be shared without copyright restriction.
Permissions	source code	http://www.w3.org/ns/odrl/2/sourceCode	YES	If the PDM work is software and source code is available, it can be accessed and used. The PDM itself doesn't mandate providing source code, but using available source code of a PD program is permitted.
Permissions	stream	http://www.w3.org/ns/odrl/2/stream	YES	If the public domain work is media, it can be streamed without copyright restriction.
Permissions	synchronize	http://www.w3.org/ns/odrl/2/synchronize	YES	If the work is media (e.g., audio with video), it can be synchronized. This is a form of use/modification.
Permissions	Text-to-speech	http://www.w3.org/ns/odrl/2/textToSpeech	YES	A textual public domain work can be converted to speech without copyright restriction.
Permissions	transform	http://www.w3.org/ns/odrl/2/transform	YES	A work in the public domain can be transformed (a type of modification) without copyright restriction.
Permissions	translate	http://www.w3.org/ns/odrl/2/translate	YES	A work in the public domain can be translated without copyright restriction.
Permissions	uninstall	http://www.w3.org/ns/odrl/2/uninstall	YES	If the public domain work is installed software, it can be uninstalled.
Permissions	use	http://www.w3.org/ns/odrl/2/use	YES	A work in the public domain can be used for any purpose without copyright restriction.
Permissions	watermark	http://www.w3.org/ns/odrl/2/watermark	NO	While one *could* add a watermark to their copy of a public domain work, this action usually implies a restriction or a claim being asserted, which is contrary to the nature of public domain. PDM doesn't grant a 'permission' to watermark in a rights sense, but doesn't prevent one from modifying their copy. However, misleadingly implying copyright by a watermark would be problematic.
Prohibitions	accept tracking	http://www.w3.org/ns/odrl/2/acceptTracking	NO	PDM does not prohibit accepting tracking. This is user choice, unrelated to copyright status.
Prohibitions	aggregate	http://www.w3.org/ns/odrl/2/aggregate	NO	PDM does not prohibit aggregation. Works are free to be aggregated.
Prohibitions	annotate	http://www.w3.org/ns/odrl/2/annotate	NO	PDM does not prohibit annotation. Works are free to be annotated.
Prohibitions	anonymize	http://www.w3.org/ns/odrl/2/anonymize	NO	PDM does not prohibit anonymization of data within a work, if applicable.
Prohibitions	archive	http://www.w3.org/ns/odrl/2/archive	NO	PDM does not prohibit archiving.
Prohibitions	attribute	http://www.w3.org/ns/odrl/2/attribute	NO	PDM does not prohibit attribution.
Prohibitions	attribution	http://creativecommons.org/ns#Attribution	NO	PDM does not require or prohibit attribution from a copyright perspective.
Prohibitions	commercial use	http://creativecommons.org/ns#CommercialUse	NO	PDM does not prohibit commercial use.
Prohibitions	compensate	http://www.w3.org/ns/odrl/2/compensate	NO	PDM does not create a prohibition related to compensation.
Prohibitions	concurrent use	http://www.w3.org/ns/odrl/2/concurrentUse	NO	PDM does not prohibit concurrent use.
Prohibitions	delete	http://www.w3.org/ns/odrl/2/delete	NO	PDM does not prohibit deleting one's copy of a work.
Prohibitions	derivative works	http://creativecommons.org/ns#DerivativeWorks	NO	PDM does not prohibit creating derivative works.
Prohibitions	derive	http://www.w3.org/ns/odrl/2/derive	NO	PDM does not prohibit deriving new works.
Prohibitions	digitize	http://www.w3.org/ns/odrl/2/digitize	NO	PDM does not prohibit digitizing.
Prohibitions	display	http://www.w3.org/ns/odrl/2/display	NO	PDM does not prohibit display.
Prohibitions	distribute	http://www.w3.org/ns/odrl/2/distribute	NO	PDM does not prohibit distribution.
Prohibitions	distribution	http://creativecommons.org/ns#Distribution	NO	PDM does not prohibit distribution.
Prohibitions	ensure exclusivity	http://www.w3.org/ns/odrl/2/ensureExclusivity	YES	While PDM itself doesn't prohibit this action, the nature of public domain means one *cannot* ensure exclusivity based on copyright. So, attempting to assert copyright exclusivity over a PD work is effectively prohibited by the work's actual status. The action of ensuring exclusivity is counter to what PDM represents.
Prohibitions	execute	http://www.w3.org/ns/odrl/2/execute	NO	PDM does not prohibit execution (of software).
Prohibitions	extract	http://www.w3.org/ns/odrl/2/extract	NO	PDM does not prohibit extraction.
Prohibitions	give	http://www.w3.org/ns/odrl/2/give	NO	PDM does not prohibit giving a copy of the work.
Prohibitions	grant use	http://www.w3.org/ns/odrl/2/grantUse	NO	PDM does not prohibit 'granting use', though such an act by a user would be meaningless for a PD work.
Prohibitions	include	http://www.w3.org/ns/odrl/2/include	NO	PDM does not prohibit including the work elsewhere.
Prohibitions	index	http://www.w3.org/ns/odrl/2/index	NO	PDM does not prohibit indexing.
Prohibitions	inform	http://www.w3.org/ns/odrl/2/inform	NO	PDM does not prohibit informing others about the work.
Prohibitions	install	http://www.w3.org/ns/odrl/2/install	NO	PDM does not prohibit installation (of software).
Prohibitions	modify	http://www.w3.org/ns/odrl/2/modify	NO	PDM does not prohibit modification.
Prohibitions	move	http://www.w3.org/ns/odrl/2/move	NO	PDM does not prohibit moving one's copy.
Prohibitions	next policy	http://www.w3.org/ns/odrl/2/nextPolicy	NO	PDM does not prohibit the existence of other, unrelated policies.
Prohibitions	notice	http://creativecommons.org/ns#Notice	NO	PDM does not prohibit providing notices, though it does not require them for copyright purposes.
