Section	Action	URI	Applicable	Reasoning
Permissions	accept tracking	http://www.w3.org/ns/odrl/2/acceptTracking	NO	The license does not grant permission related to being tracked	 this is typically a user consent matter outside the scope of copyright permissions for the work.
Permissions	aggregate	http://www.w3.org/ns/odrl/2/aggregate	YES	Permitted as part of the right to 'Share' and 'Adapt' (remix, build upon) the material, which can include incorporating it into a collection. (Legal Code Section 2.a.1)
Permissions	annotate	http://www.w3.org/ns/odrl/2/annotate	YES	Permitted as a form of 'Adapt' (modifying the material). (Legal Code Section 1.a, 2.a.1.B)
Permissions	anonymize	http://www.w3.org/ns/odrl/2/anonymize	YES	Permitted as a form of 'Adapt' if it refers to modifying content within the work. However, this does not override the obligation to attribute the original licensor.
Permissions	archive	http://www.w3.org/ns/odrl/2/archive	YES	Permitted as the license allows 'reproduce' (for storage) and does not restrict private copying or how long a copy is kept. (Legal Code Section 2.a.1.A)
Permissions	attribute	http://www.w3.org/ns/odrl/2/attribute	NO	This is an obligation upon the licensee, not a permission granted to the licensee by the license. The permission is to 'use' the work conditional upon fulfilling this.
Permissions	attribution	http://creativecommons.org/ns#Attribution	NO	This is an obligation (a condition of use), not a permission granted by the license.
Permissions	commercial use	http://creativecommons.org/ns#CommercialUse	YES	The license explicitly allows use for any purpose, even commercially. (Deed Legal Code implicitly by not restricting Licensed Rights to non-commercial).
Permissions	compensate	http://www.w3.org/ns/odrl/2/compensate	NO	The license is royalty-free. It does not grant a permission related to compensation it permits use *without* it. (Legal Code Section 2.a.1)
Permissions	concurrent use	http://www.w3.org/ns/odrl/2/concurrentUse	YES	Implied by the broad rights to 'Share' and 'Reproduce', with no restrictions on simultaneous users of a lawfully obtained copy.
Permissions	delete	http://www.w3.org/ns/odrl/2/delete	YES	Licensees are permitted to delete their own copies of the material as the license does not obligate retention.
Permissions	derivative works	http://creativecommons.org/ns#DerivativeWorks	YES	Explicitly permitted through the right to 'Adapt' and to produce, reproduce, and Share Adapted Material. (Deed	 Legal Code Section 2.a.1.B)
Permissions	derive	http://www.w3.org/ns/odrl/2/derive	YES	Explicitly permitted as part of 'Adapt' (remix, transform, and build upon the material). (Deed Legal Code Section 1.a, 2.a.1.B)
