CATEGORY	URI	RELEVANT
PERMISSIONS	http://creativecommons.org/ns#Attribution	NO
PROHIBITIONS	http://creativecommons.org/ns#Attribution	NO
OBLIGATIONS	http://creativecommons.org/ns#Attribution	NO
PERMISSIONS	http://creativecommons.org/ns#CommercialUse	NO
PROHIBITIONS	http://creativecommons.org/ns#CommercialUse	NO
OBLIGATIONS	http://creativecommons.org/ns#CommercialUse	NO
PERMISSIONS	http://creativecommons.org/ns#DerivativeWorks	NO
PROHIBITIONS	http://creativecommons.org/ns#DerivativeWorks	NO
OBLIGATIONS	http://creativecommons.org/ns#DerivativeWorks	NO
PERMISSIONS	http://creativecommons.org/ns#Distribution	NO
PROHIBITIONS	http://creativecommons.org/ns#Distribution	NO
OBLIGATIONS	http://creativecommons.org/ns#Distribution	NO
PERMISSIONS	http://creativecommons.org/ns#Notice	NO
PROHIBITIONS	http://creativecommons.org/ns#Notice	NO
OBLIGATIONS	http://creativecommons.org/ns#Notice	NO
PERMISSIONS	http://creativecommons.org/ns#Reproduction	NO
PROHIBITIONS	http://creativecommons.org/ns#Reproduction	NO
OBLIGATIONS	http://creativecommons.org/ns#Reproduction	NO
PERMISSIONS	http://creativecommons.org/ns#ShareAlike	NO
PROHIBITIONS	http://creativecommons.org/ns#ShareAlike	NO
OBLIGATIONS	http://creativecommons.org/ns#ShareAlike	NO
PERMISSIONS	http://creativecommons.org/ns#Sharing	NO
PROHIBITIONS	http://creativecommons.org/ns#Sharing	NO
OBLIGATIONS	http://creativecommons.org/ns#Sharing	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/acceptTracking	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/acceptTracking	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/acceptTracking	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/aggregate	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/aggregate	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/aggregate	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/annotate	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/annotate	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/annotate	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/anonymize	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/anonymize	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/anonymize	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/archive	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/archive	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/archive	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/attribute	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/attribute	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/attribute	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/compensate	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/compensate	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/compensate	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/concurrentUse	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/concurrentUse	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/concurrentUse	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/delete	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/delete	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/delete	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/derive	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/derive	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/derive	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/digitize	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/digitize	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/digitize	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/display	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/display	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/display	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/distribute	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/distribute	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/distribute	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/ensureExclusivity	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/ensureExclusivity	YES
OBLIGATIONS	http://www.w3.org/ns/odrl/2/ensureExclusivity	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/execute	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/execute	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/execute	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/extract	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/extract	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/extract	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/give	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/give	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/give	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/grantUse	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/grantUse	YES
OBLIGATIONS	http://www.w3.org/ns/odrl/2/grantUse	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/include	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/include	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/include	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/index	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/index	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/index	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/inform	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/inform	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/inform	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/install	NO
